query,intent
Find a Wireless Mouse,search_products
Search for mouse with,search_products
Show me Wireless Mouse for Electronics,search_products
Look for mouse with,search_products
Show Electronics products,filter_category
List all Electronics items,filter_category
Find Electronics equipment,filter_category
Electronics stuff,filter_category
Details for Wireless Mouse,get_details
Tell me about Wireless Mouse,get_details
Info on product ID 1,get_details
What is Wireless Mouse?,get_details
Find a Yoga Mat,search_products
Search for for yoga,search_products
Show me Yoga Mat for Fitness,search_products
Look for for yoga,search_products
Show Fitness products,filter_category
List all Fitness items,filter_category
Find Fitness equipment,filter_category
Fitness stuff,filter_category
Details for Yoga Mat,get_details
Tell me about Yoga Mat,get_details
Info on product ID 2,get_details
What is Yoga Mat?,get_details
Compare Yoga Mat and Wireless Mouse,compare_products
Differences between Yoga Mat vs. Wireless Mouse,compare_products
Show Yoga Mat vs. Wireless Mouse,compare_products
What products do you have?,general_inquiry
What products do you have?,general_inquiry
What products do you have?,general_inquiry
What products do you have?,general_inquiry
What products do you have?,general_inquiry
What products do you have?,general_inquiry
What products do you have?,general_inquiry
What products do you have?,general_inquiry
What products do you have?,general_inquiry
What products do you have?,general_inquiry
List all items,general_inquiry
List all items,general_inquiry
List all items,general_inquiry
List all items,general_inquiry
List all items,general_inquiry
List all items,general_inquiry
List all items,general_inquiry
List all items,general_inquiry
List all items,general_inquiry
List all items,general_inquiry
Show me your catalog,general_inquiry
Show me your catalog,general_inquiry
Show me your catalog,general_inquiry
Show me your catalog,general_inquiry
Show me your catalog,general_inquiry
Show me your catalog,general_inquiry
Show me your catalog,general_inquiry
Show me your catalog,general_inquiry
Show me your catalog,general_inquiry
Show me your catalog,general_inquiry
What do you sell?,general_inquiry
What do you sell?,general_inquiry
What do you sell?,general_inquiry
What do you sell?,general_inquiry
What do you sell?,general_inquiry
What do you sell?,general_inquiry
What do you sell?,general_inquiry
What do you sell?,general_inquiry
What do you sell?,general_inquiry
What do you sell?,general_inquiry
What's the weather?,out_of_scope
What's the weather?,out_of_scope
What's the weather?,out_of_scope
What's the weather?,out_of_scope
What's the weather?,out_of_scope
What's the weather?,out_of_scope
What's the weather?,out_of_scope
What's the weather?,out_of_scope
What's the weather?,out_of_scope
What's the weather?,out_of_scope
Tell me a joke,out_of_scope
Tell me a joke,out_of_scope
Tell me a joke,out_of_scope
Tell me a joke,out_of_scope
Tell me a joke,out_of_scope
Tell me a joke,out_of_scope
Tell me a joke,out_of_scope
Tell me a joke,out_of_scope
Tell me a joke,out_of_scope
Tell me a joke,out_of_scope
How's the stock market?,out_of_scope
How's the stock market?,out_of_scope
How's the stock market?,out_of_scope
How's the stock market?,out_of_scope
How's the stock market?,out_of_scope
How's the stock market?,out_of_scope
How's the stock market?,out_of_scope
How's the stock market?,out_of_scope
How's the stock market?,out_of_scope
How's the stock market?,out_of_scope
Who won the game?,out_of_scope
Who won the game?,out_of_scope
Who won the game?,out_of_scope
Who won the game?,out_of_scope
Who won the game?,out_of_scope
Who won the game?,out_of_scope
Who won the game?,out_of_scope
Who won the game?,out_of_scope
Who won the game?,out_of_scope
Who won the game?,out_of_scope
